"nombre","provincia","cod_mun","renta_neta_media_persona","sin_educacion_basica","educacion_basica","fp","universitaria","indice_educacion","total_educacion"
"Abla","Almería","04001",9556,288,503,51,102,0.201,944
"Abrucena","Almería","04002",9412,301,530,0,0,0.159,831
"Adra","Almería","04003",7845,6354,7838,1368,1401,0.177,16961
"Albanchez","Almería","04004",8875,189,233,0,0,0.138,422
"Alboloduy","Almería","04005",9559,197,189,0,0,0.122,386
"Albox","Almería","04006",8192,1672,3881,1011,1076,0.23,7640
"Alcolea","Almería","04007",8449,183,320,0,0,0.159,503
"Alcóntar","Almería","04008",10658,77,259,27,0,0.197,363
"Alcudia de Monteagud","Almería","04009",13455,0,59,0,0,0.25,59
"Alhabia","Almería","04010",7971,218,181,66,0,0.133,465
"Alhama de Almería","Almería","04011",8537,647,1610,146,307,0.219,2710
"Alicún","Almería","04012",9804,32,105,0,20,0.231,157
"Almería (capital)","Almería","04013",10505,27610,61977,16229,36137,0.265,141953
"Almócita","Almería","04014",10763,36,44,0,0,0.138,80
"Alsodux","Almería","04015",12457,27,62,0,0,0.174,89
"Antas","Almería","04016",8978,527,1108,328,348,0.231,2311
"Arboleas","Almería","04017",7249,772,1927,191,379,0.22,3269
"Armuña de Almanzora","Almería","04018",10475,41,122,0,0,0.187,163
"Bacares","Almería","04019",11184,36,96,0,0,0.182,132
"Bayárcal","Almería","04020",9542,68,90,0,0,0.142,158
"Bayarque","Almería","04021",11448,38,61,0,0,0.154,99
"Bédar","Almería","04022",7398,217,295,0,0,0.144,512
"Beires","Almería","04023",12245,31,20,0,0,0.098,51
"Benahadux","Almería","04024",8886,441,1510,522,457,0.251,2930
"Benitagla","Almería","04026",NA,0,0,0,0,NA,0
"Benizalón","Almería","04027",9486,60,105,0,0,0.159,165
"Bentarique","Almería","04028",9278,60,84,21,0,0.159,165
"Berja","Almería","04029",7892,3332,5241,747,1128,0.197,10448
"Canjáyar","Almería","04030",8754,395,487,81,0,0.147,963
"Cantoria","Almería","04031",8830,665,1390,359,316,0.218,2730
"Carboneras","Almería","04032",10195,1479,2275,703,888,0.222,5345
"Castro de Filabres","Almería","04033",12112,31,70,0,0,0.173,101
"Chercos","Almería","04036",8296,75,97,0,0,0.141,172
"Chirivel","Almería","04037",10060,198,575,87,256,0.263,1116
"Cóbdar","Almería","04034",10592,37,51,0,0,0.145,88
"Cuevas del Almanzora","Almería","04035",8403,2656,4600,998,1005,0.205,9259
"Dalías","Almería","04038",8695,926,1292,271,366,0.201,2855
"El Ejido","Almería","04902",8011,15640,28038,5367,5939,0.206,54984
"Enix","Almería","04041",10020,71,45,0,0,0.097,116
"Felix","Almería","04043",9582,95,250,42,0,0.189,387
"Fines","Almería","04044",8645,335,847,195,169,0.223,1546
"Fiñana","Almería","04045",8539,556,742,144,70,0.17,1512
"Fondón","Almería","04046",9577,192,309,105,52,0.197,658
