"nombre","anyo","cod_prov","cod_mun","renta_neta_media_persona","renta_bruta_media_persona","renta_neta_media_hogar","renta_bruta_media_hogar","renta_unidad_consumo"
"Abla",2018,4,1,9556,10737,21095,23702,13594
"Abla",2019,4,1,10192,11471,22690,25535,14637
"Abla",2020,4,1,10403,11722,23051,25971,14850
"Abla",2021,4,1,10891,12404,23676,26963,15609
"Abrucena",2018,4,2,9412,10476,19128,21291,12919
"Abrucena",2019,4,2,10021,11133,20024,22247,13733
"Abrucena",2020,4,2,9925,11080,19984,22308,13702
"Abrucena",2021,4,2,10401,11741,21063,23778,14271
"Adra",2018,4,3,7845,8869,22213,25115,12094
"Adra",2019,4,3,8192,9257,23286,26316,12594
"Adra",2020,4,3,8444,9550,23822,26942,12943
"Adra",2021,4,3,8731,9904,24340,27608,13362
"Albanchez",2018,4,4,8875,10042,18632,21082,13157
"Albanchez",2019,4,4,9384,10595,19088,21553,13148
"Albanchez",2020,4,4,9064,10265,18763,21247,13088
"Albanchez",2021,4,4,9533,10854,19398,22086,13988
"Alboloduy",2018,4,5,9559,10516,20751,22828,13427
"Alboloduy",2019,4,5,9994,11061,21446,23738,14009
"Alboloduy",2020,4,5,9961,11072,21431,23824,14067
"Alboloduy",2021,4,5,10481,11727,22464,25137,14613
"Albox",2018,4,6,8192,9391,22842,26181,12851
"Albox",2019,4,6,8648,9961,24216,27893,13501
"Albox",2020,4,6,8780,10143,24615,28442,13748
"Albox",2021,4,6,9353,10889,25806,30047,14487
"Alcolea",2018,4,7,8449,9279,16535,18159,11492
"Alcolea",2019,4,7,8721,9604,17013,18738,11923
"Alcolea",2020,4,7,8746,9710,17203,19100,11849
"Alcolea",2021,4,7,9539,10567,18509,20504,12941
"Alcóntar",2018,4,8,10658,12266,24029,27652,15175
"Alcóntar",2019,4,8,11156,12964,25254,29345,15720
"Alcóntar",2020,4,8,11049,12849,25090,29175,15726
"Alcóntar",2021,4,8,11772,13665,26746,31047,16425
"Alcudia de Monteagud",2018,4,9,13455,15393,26069,29825,18596
"Alcudia de Monteagud",2019,4,9,14196,16296,25829,29649,19028
"Alcudia de Monteagud",2020,4,9,14119,16274,24964,28774,18148
"Alcudia de Monteagud",2021,4,9,15007,17534,27807,32491,20257
"Alhabia",2018,4,10,7971,8752,16435,18043,11069
"Alhabia",2019,4,10,8662,9593,17938,19869,12089
"Alhabia",2020,4,10,8622,9535,17725,19602,12000
"Alhabia",2021,4,10,9254,10286,19188,21327,12939
"Alhama de Almería",2018,4,11,8537,9616,21148,23822,12724
"Alhama de Almería",2019,4,11,8985,10109,22374,25171,13464
"Alhama de Almería",2020,4,11,9056,10188,22463,25266,13450
"Alhama de Almería",2021,4,11,9507,10827,23496,26759,14162
"Alicún",2018,4,12,9804,11322,18618,21500,13606
"Alicún",2019,4,12,11608,13309,22212,25467,16125
"Alicún",2020,4,12,11023,12790,21305,24721,15176
"Alicún",2021,4,12,11458,13409,23134,27075,16085
"Almería (capital)",2018,4,13,10505,12533,28453,33944,15985
"Almería (capital)",2019,4,13,10937,13104,29622,35490,16616
"Almería (capital)",2020,4,13,11233,13448,30170,36119,17020
"Almería (capital)",2021,4,13,11789,14214,31317,37757,17826
"Almócita",2018,4,14,10763,12447,19772,22864,15122
"Almócita",2019,4,14,10741,12305,20666,23673,15259
"Almócita",2020,4,14,11046,12615,23279,26587,15579
"Almócita",2021,4,14,11535,13351,24151,27955,16046
"Alsodux",2018,4,15,12457,14313,23727,27262,16836
"Alsodux",2019,4,15,13044,15071,26088,30144,17780
"Alsodux",2020,4,15,12685,14653,26427,30526,17517
"Alsodux",2021,4,15,13997,16275,27105,31515,19053
"Antas",2018,4,16,8978,10378,23832,27547,13931
"Antas",2019,4,16,9406,10866,25453,29406,14441
"Antas",2020,4,16,9724,11536,26096,30956,15297
"Antas",2021,4,16,9979,11614,26174,30463,15201
"Arboleas",2018,4,17,7249,8049,17117,19006,11880
"Arboleas",2019,4,17,7647,8511,17815,19827,12405
"Arboleas",2020,4,17,7429,8310,17970,20102,12264
"Arboleas",2021,4,17,8520,9603,19226,21672,13522
"Armuña de Almanzora",2018,4,18,10475,11803,20950,23606,14460
"Armuña de Almanzora",2019,4,18,11368,12916,22971,26108,15920
"Armuña de Almanzora",2020,4,18,11373,12962,23457,26733,15740
"Armuña de Almanzora",2021,4,18,11756,13383,23901,27470,16135
"Bacares",2018,4,19,11184,12409,20564,22816,15065
"Bacares",2019,4,19,11876,13277,22070,24672,15772
"Bacares",2020,4,19,11460,12891,21324,23986,15336
"Bacares",2021,4,19,12524,14094,22542,25370,16610
"Balanegra",2018,4,904,7780,8838,22507,25567,12004
"Balanegra",2019,4,904,8196,9257,23332,26350,12442
"Balanegra",2020,4,904,8834,10046,24009,27304,13429
"Balanegra",2021,4,904,9192,10422,24621,27916,13893
"Bayárcal",2018,4,20,9542,10657,20410,22797,13771
"Bayárcal",2019,4,20,10302,11506,21491,24005,14658
"Bayárcal",2020,4,20,9963,11181,21055,23629,14224
"Bayárcal",2021,4,20,9680,10914,20228,22807,13707
"Bayarque",2018,4,21,11448,13295,21752,25259,15201
"Bayarque",2019,4,21,11390,13272,22889,26670,15415
"Bayarque",2020,4,21,11545,13440,22877,26630,15520
